748872,8
751698,8
761663,8
768341,0
768685,7
768969,0
768994,7
770072,7
770084,7
771580,0
772515,8
776031,0
776684,8
776749,8
777226,7
777809,8
778483,8
778509,8
780139,7
780402,8
781584,8
782470,1
782513,12
790477,1
790789,8
790854,0
791446,0
791907,0
791930,1
792044,1
792497,11
792853,0
793516,1
793812,8
794727,8
794730,0
794757,8
794775,8
795062,1
795838,0
795984,11
796209,8
796228,8
796314,8
796576,0
796608,8
797392,0
797481,8
797608,12
797645,8
797771,0
797776,0
798016,8
798129,12
798376,0
798720,0
798794,0
799076,0
799143,0
799325,0
799409,7
799686,0
799725,0
800109,0
800131,8
800156,1
800498,0
800590,1
800606,1
800636,0
800682,0
800931,1
800961,0
800989,1
801106,0
801140,0
801170,1
801206,8
801229,0
801255,8
801277,8
801411,0
801441,1
801456,1
801485,1
801594,8
801596,8
801719,8
801749,8
801965,1
802142,8
802337,8
802690,1
802699,8
802704,8
802708,0
802711,8
802714,8
802724,8
802941,0
802957,1
802960,0
802981,8
802982,11
803015,8
803035,0
803063,0
803155,0
803181,0
803266,0
803279,1
803405,8
803539,0
803675,8
803678,8
803679,8
803683,8
803686,8
803687,8
803688,8
803690,8
803691,8
803699,8
803702,8
803708,8
803719,8
803731,8
803735,1
803745,8
803747,8
803749,0
803757,8
803758,8
803766,1
803768,8
803771,8
803778,8
803782,8
803790,8
803793,8
803805,8
803810,8
803817,8
803823,8
803826,8
803832,8
803838,8
803842,8
803851,8
803859,8
803860,8
803864,8
803868,8
803875,8
803878,8
803897,0
803928,0
803956,1
803984,0
803995,0
804079,8
804094,8
804104,0
804171,0
804240,8
804242,8
804298,8
804314,0
804362,0
804393,8
804438,8
804660,8
804666,8
804685,8
804704,0
804783,8
804796,0
804843,8
804857,0
804897,8
804915,1
804970,0
805031,0
805057,0
805359,8
805365,8
805371,1
805372,8
805403,8
805413,8
805420,8
805424,8
805441,8
805448,8
805453,0
805454,8
805474,1
805488,0
805554,8
805619,8
805647,0
805658,0
805671,12
806484,0
806515,1
806518,0
806540,0
806580,0
806593,1
806607,0
806642,8
806651,0
806680,1
806724,8
806754,0
806787,8
806814,1
806821,0
806825,8
806840,8
